RowName,E.4_prevision,A.6_prevision,B.6_prevision,D.4_prevision,C.4_prevision,D.6_prevision,A.8_prevision,A.8,A.1_prevision,B.1_prevision,A.2_prevision,D.9_prevision,D.12_prevision,E.9_prevision,C.2_prevision,B.2_prevision,E.2_prevision,A.4_prevision,B.4_prevision,A.9_prevision,D.7_prevision,D.2_prevision,E.7_prevision,E.5_prevision,E.3_prevision,B.5_prevision,D.10_prevision,A.7_prevision,D.5_prevision,C.1_prevision,E.8_prevision,A.3_prevision,D.1_prevision,D.11_prevision,C.3_prevision,E.6_prevision,B.3_prevision,D.3_prevision,A.5_prevision,D.8_prevision,E.1_prevision
Microsoft Certified in Risk and Information Systems Control (CRISC),0.9,0.0,1.15,0.2,0.5,0.16666666666666666,0.9,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.5333333333333333,0.25,0.0,0.2,0.4,1.0,0.4,0.65,0.6000000000000001,1.8,0.4,0.4,0.0
PRINCE2® Practitioner,0.45,0.2,0.45,0.0,0.0,0.0,0.2,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.7,2.311111111111111,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.2,0.5666666666666667,0.16666666666666666,0.25,0.0,0.2,0.2,0.8,0.4,0.65,0.6000000000000001,0.2,2.511111111111111,0.4,0.0
TMap NEXT® Test Manager,0.65,0.0,0.65,0.2,0.0,0.0,0.4,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.111111111111111,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.3666666666666667,0.25,0.0,0.2,0.4,0.8,0.4,0.65,0.4,0.6000000000000001,2.311111111111111,0.4,0.0
VMware Certified Professional - Cloud (VCP-Cloud),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.8444444444444446,0.4,0.0
Microsoft Certified Solution Developer (MCSD),0.2,0.0,0.2,0.0,0.30952380952380953,0.16666666666666666,0.4857142857142857,0.0,0.2857142857142857,0.5333333333333333,0.9857142857142855,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,1.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.5,0.0,0.0,0.2,0.2,0.2,0.4,0.6666666666666666,0.0,0.0,0.8666666666666667,0.4,0.0
Cisco Certified Network Associate Routing and Switching (CCNA),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.8444444444444446,0.4,0.0
HP ATA – Connected Devices,0.9,0.0,1.15,0.2,0.6428571428571428,0.16666666666666666,0.9857142857142857,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.0,0.8666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
A+,0.4,0.0,0.4,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.7777777777777777,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.7,0.0,0.0,0.0,0.4,0.6000000000000001,0.2,0.0,0.2,0.8,2.8444444444444446,0.4,0.0
COBIT Foundation,0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.9,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.4444444444444446,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,2.311111111111111,0.4,0.0
PRINCE2® Foundation,0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.8999999999999999,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.4444444444444446,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,2.311111111111111,0.4,0.0
Associate Computer Professional (ACP),0.65,0.0,0.8999999999999999,0.2,0.6428571428571428,0.0,1.1857142857142857,0.0,0.2857142857142857,0.2,0.4857142857142857,0.2,0.0,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.0,0.4,1.0,0.2,0.4,0.6000000000000001,1.8,0.7333333333333334,0.4,0.0
Certified Information Systems Auditor (CISA),0.4,0.0,0.4,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.444444444444444,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.7,0.0,0.0,0.0,0.4,1.0,0.2,0.4,0.6000000000000001,0.8,2.511111111111111,0.4,0.0
Advanced Level Test Manager,0.25,0.0,0.5,0.0,0.8095238095238095,0.0,0.9857142857142858,0.0,0.2857142857142857,0.5888888888888889,1.096825396825397,0.3666666666666667,0.8888888888888888,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,2.6444444444444444,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.0,0.2,0.2,0.6666666666666666,0.0,1.0,2.6444444444444444,0.2,0.0
Certified Tester Foundation Level in Software Testing,0.25,0.0,0.25,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.25,0.0,0.2,0.0,0.4,0.2,0.9166666666666666,0.0,0.4,0.8666666666666667,0.2,0.0
Governance of Enterprise IT (CGEIT),0.4,0.0,0.4,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.4444444444444446,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.7,0.0,0.0,0.0,0.4,1.0,0.2,0.4,0.6000000000000001,0.8,2.511111111111111,0.4,0.0
Microsoft Certified Solutions Associate Windows Server 2012 (MCSA),0.9,0.2,1.15,0.2,0.5,0.16666666666666666,0.7,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.2,1.0666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
Linux Essentials Professional Development Certificate (PDC),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444444,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.7777777777777777,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.844444444444444,0.4,0.0
European Computer Driving License Advanced (ECDL Advanced),0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.8999999999999999,0.0,0.0,0.5888888888888889,0.9777777777777777,0.2,0.8888888888888888,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,2.311111111111111,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,2.311111111111111,0.4,0.0
Installing and Configuring Windows Server 2012 (70-410),0.4,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.3666666666666667,0.3666666666666667,0.0,0.2,0.0,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.2,0.4,0.6000000000000001,0.4,0.0,0.2,0.8,1.0666666666666667,0.4,0.0
TOGAF9,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.5,0.0,0.0,0.0,0.2,1.0,0.2,0.4,0.6000000000000001,0.6000000000000001,2.8444444444444446,0.4,0.0
Administering Windows Server 2012 (70-411),0.4,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.3666666666666667,0.3666666666666667,0.0,0.2,0.0,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.2,0.4,0.6000000000000001,0.4,0.0,0.2,0.8,1.0666666666666667,0.4,0.0
TMap NEXT® Test Engineer,0.2,0.0,0.2,0.0,0.30952380952380953,0.16666666666666666,0.4857142857142857,0.0,0.2857142857142857,0.5333333333333333,0.9857142857142855,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.5333333333333333,0.0,0.0,0.2,0.2,0.6000000000000001,0.2,1.0666666666666667,0.4,0.2,0.5333333333333333,0.2,0.0
HP ATA Technology Certification,0.9,0.0,1.15,0.2,0.6428571428571428,0.16666666666666666,0.9857142857142858,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.0,0.8666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.7999999999999998,0.2,0.2,0.0
ITIL Expert,0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.7,0.0,0.0,0.3666666666666667,0.5333333333333333,0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.6000000000000001,1.8,0.5333333333333333,0.2,0.0
HP ATA - Networks,0.8999999999999999,0.2,1.15,0.2,0.6428571428571428,0.16666666666666666,0.9857142857142857,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.4,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
Microsoft Technology Associate (MTA) [Developer],0.2,0.0,0.2,0.0,0.30952380952380953,0.16666666666666666,0.4857142857142857,0.0,0.2857142857142857,0.5333333333333333,0.9857142857142858,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.5333333333333333,0.0,0.0,0.2,0.2,0.6000000000000001,0.2,1.0666666666666667,0.4,0.2,0.5333333333333333,0.2,0.0
Cloud Essentials,0.9,0.2,1.15,0.2,0.5,0.16666666666666666,0.7,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.2,1.0666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
Security+,0.4,0.0,0.4,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.6000000000000001,0.4,2.8444444444444446,0.4,0.0
Senior Level Linux Certification (LPIC-3: Virtualization and High Availability),0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.8999999999999999,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,0.5,2.4444444444444446,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,2.311111111111111,0.4,0.0
Certified Information Security Manager (CISM),0.65,0.2,0.65,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.5333333333333333,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.2,0.5666666666666667,0.7,0.25,0.0,0.2,0.4,0.8,0.4,0.65,0.6000000000000001,0.4,0.7333333333333334,0.4,0.0
Advanced Level Test Analyst,0.25,0.0,0.5,0.0,0.8095238095238095,0.0,0.9857142857142858,0.0,0.2857142857142857,0.5888888888888889,1.096825396825397,0.3666666666666667,0.8888888888888888,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,2.6444444444444444,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.0,0.2,0.2,0.6666666666666666,0.0,1.0,2.6444444444444444,0.2,0.0
Advanced Level Linux Certification (LPIC-2),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.8444444444444446,0.4,0.0
Configuring Advanced Windows Server 2012 Services (70-412),0.4,0.0,0.4,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.5333333333333333,0.2,0.0,0.2,0.0,0.0,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.7,0.0,0.0,0.2,0.4,0.6000000000000001,0.4,0.0,0.2,0.8,0.7333333333333334,0.4,0.0
Microsoft Technology Associate (MTA) [Professional],0.7,0.0,0.95,0.2,0.6428571428571428,0.16666666666666666,1.1857142857142855,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.5,0.5,0.6666666666666666,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.5,0.25,0.0,0.2,0.2,0.4,0.4,0.25,0.0,1.4,0.5333333333333333,0.4,0.0
European Computer Driving License (ECDL),0.65,0.0,0.8999999999999999,0.2,0.6428571428571428,0.16666666666666666,1.1857142857142855,0.0,0.2857142857142857,0.3666666666666667,0.819047619047619,0.2,0.0,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,0.5333333333333333,0.4,0.0
Advanced Security Practitioner (CASP),0.9,0.2,1.15,0.2,0.5,0.16666666666666666,0.7,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.2,1.0666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
ITIL Foundation,0.65,0.0,0.8999999999999999,0.2,0.6428571428571428,0.0,1.1857142857142857,0.0,0.2857142857142857,0.2222222222222222,0.7301587301587301,0.0,0.8888888888888888,0.0,0.5714285714285714,0.0,0.5,0.5,2.111111111111111,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.0,0.0,0.4,0.8,0.2,0.4,0.4,1.6,2.311111111111111,0.4,0.0
HP ATA - Cloud,0.9,0.2,1.15,0.2,0.6428571428571428,0.16666666666666666,0.9857142857142857,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.4,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
Senior Level Linux Certification (LPIC-3: Mixed Environment),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.7777777777777777,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.8444444444444446,0.4,0.0
Network+,0.4,0.0,0.4,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.7,0.0,0.0,0.0,0.4,0.6000000000000001,0.2,0.0,0.2,0.8,2.8444444444444446,0.4,0.0
Junior Level Linux Certification (LPIC-1),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.7777777777777777,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.6000000000000001,0.2,2.8444444444444446,0.4,0.0
Microsoft Certified Solution Expert  (MCSE `HW`),0.2,0.0,0.2,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.3666666666666667,0.0,0.0,0.2,0.2,0.4,0.2,0.6666666666666666,0.0,0.6000000000000001,0.8666666666666667,0.2,0.0
HP ATA – Servers and Storage,0.8999999999999999,0.2,1.15,0.2,0.6428571428571428,0.16666666666666666,0.9857142857142858,0.0,0.2857142857142857,0.16666666666666666,0.6190476190476191,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.4,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.8,0.2,0.2,0.0
