RowName,E.4_prevision,A.6_prevision,B.6_prevision,D.4_prevision,C.4_prevision,D.6_prevision,C.3,A.8_prevision,A.1_prevision,B.1_prevision,A.2_prevision,D.9_prevision,D.12_prevision,E.9_prevision,C.2_prevision,B.2_prevision,E.2_prevision,A.4_prevision,B.4_prevision,A.9_prevision,D.7_prevision,D.2_prevision,E.7_prevision,E.5_prevision,E.3_prevision,B.5_prevision,D.10_prevision,A.7_prevision,D.5_prevision,C.1_prevision,E.8_prevision,A.3_prevision,D.1_prevision,D.11_prevision,C.3_prevision,E.6_prevision,B.3_prevision,D.3_prevision,A.5_prevision,D.8_prevision,E.1_prevision
Microsoft Certified in Risk and Information Systems Control (CRISC),0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.7,0.0,0.0,0.0,0.2,1.7999999999999998,0.0,0.4,0.4,0.6000000000000001,1.5333333333333332,1.2,0.0
PRINCE2® Practitioner,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
TMap NEXT® Test Manager,1.2,0.0,2.2,0.2,1.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,1.2,0.2,0.2,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
VMware Certified Professional - Cloud (VCP-Cloud),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.1666666666666667,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666667,0.5,0.0,0.0,0.0,0.2,1.4,0.2,0.0,0.2,0.2,0.7333333333333334,0.4,0.0
Microsoft Certified Solution Developer (MCSD),0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,2.4523809523809526,0.16666666666666666,0.0,0.0,0.5714285714285714,0.3333333333333333,2.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Cisco Certified Network Associate Routing and Switching (CCNA),0.2,0.0,0.2,0.0,1.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.16666666666666666,1.1666666666666667,2.4444444444444446,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666667,0.5,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,2.8444444444444446,0.4,0.0
HP ATA – Connected Devices,0.45,0.0,2.7,0.2,2.5,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,1.5999999999999999,0.0,0.0,0.0
A+,0.2,0.0,0.2,0.2,2.0,0.16666666666666666,0.4,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.5,0.0,0.0,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4,0.0
COBIT Foundation,1.2,0.0,2.2,0.2,1.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,1.2,0.2,0.2,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
PRINCE2® Foundation,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Associate Computer Professional (ACP),0.2,0.0,2.2,0.2,1.0,0.16666666666666666,2.4,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.16666666666666666,0.0,0.2,0.4,0.0,0.0,0.0,0.6000000000000001,0.5333333333333333,0.2,0.0
Certified Information Systems Auditor (CISA),0.4,0.0,0.4,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.7,0.0,0.0,0.0,0.4,1.6,0.2,0.4,0.4,0.2,1.5333333333333332,1.4,0.0
Advanced Level Test Manager,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2,2.4857142857142858,0.2,0.0,0.2,0.5714285714285714,0.0,2.333333333333333,0.3333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Certified Tester Foundation Level in Software Testing,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,2.452380952380952,0.16666666666666666,0.0,0.0,0.5714285714285714,0.3333333333333333,2.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Governance of Enterprise IT (CGEIT),0.2,0.0,2.2,0.2,0.0,0.16666666666666666,0.2,2.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,1.2,0.6000000000000001,0.0,0.4,0.4,0.6000000000000001,0.3333333333333333,0.0,0.0
Microsoft Certified Solutions Associate Windows Server 2012 (MCSA),1.2,0.0,2.2,0.2,1.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,1.2,0.2,0.2,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
Linux Essentials Professional Development Certificate (PDC),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,1.5,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.8666666666666667,0.4,0.0
European Computer Driving License Advanced (ECDL Advanced),1.2,0.0,1.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.0,0.0,0.0,0.2,1.6,0.0,0.4,0.4,0.2,1.2,1.2,0.0
Installing and Configuring Windows Server 2012 (70-410),0.2,0.0,2.2,0.2,0.0,0.16666666666666666,2.4,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.16666666666666666,0.0,1.2,0.4,0.0,0.0,0.0,0.6000000000000001,0.5333333333333333,0.2,0.0
TOGAF9,0.2,0.0,0.2,0.0,1.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,1.5,2.4444444444444446,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666667,0.5,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,2.511111111111111,0.4,0.0
Administering Windows Server 2012 (70-411),0.2,0.0,2.2,0.2,0.0,0.16666666666666666,2.4,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.16666666666666666,0.0,1.2,0.4,0.0,0.0,0.0,0.6000000000000001,0.5333333333333333,0.2,0.0
TMap NEXT® Test Engineer,0.2,0.0,0.2,0.0,2.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,1.6,0.0,0.4,0.4,0.2,1.2,1.2,0.0
HP ATA Technology Certification,0.25,0.0,2.5,0.2,2.642857142857143,0.0,2.9857142857142858,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.4,0.3333333333333333,0.0,0.0
ITIL Expert,0.2,0.0,2.2,0.2,0.0,0.16666666666666666,0.2,2.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,1.2,0.6000000000000001,0.0,0.4,0.4,0.6000000000000001,0.3333333333333333,0.0,0.0
HP ATA - Networks,0.25,0.0,2.5,0.2,2.642857142857143,0.0,2.9857142857142858,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.4,0.3333333333333333,0.0,0.0
Microsoft Technology Associate (MTA) [Developer],0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2,2.4857142857142858,0.2,0.0,0.2,0.5714285714285714,0.0,2.333333333333333,0.3333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Essentials,1.2,0.0,2.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,1.2,1.2,0.4,0.2,0.0,0.2,0.8,0.5333333333333333,0.0,0.0
Security+,0.2,0.0,0.2,0.0,1.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,2.166666666666667,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5,0.0,0.0,0.0,0.2,1.2,0.2,0.0,0.0,0.0,1.5333333333333332,0.4,0.0
Senior Level Linux Certification (LPIC-3: Virtualization and High Availability),2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Certified Information Security Manager (CISM),0.2,0.0,0.2,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666667,0.7,0.0,0.0,0.0,0.2,1.8,0.0,0.4,0.6000000000000001,0.4,1.7333333333333332,1.2,0.0
Advanced Level Test Analyst,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2,2.4857142857142858,0.2,0.0,0.2,0.5714285714285714,0.0,2.333333333333333,0.3333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Level Linux Certification (LPIC-2),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.5,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,0.7333333333333334,0.4,0.0
Configuring Advanced Windows Server 2012 Services (70-412),0.4,0.0,2.4000000000000004,0.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.0,0.0,1.4,0.4,0.2,0.0,0.0,0.6000000000000001,0.5333333333333333,0.4,0.0
Microsoft Technology Associate (MTA) [Professional],0.25,0.0,2.5,0.2,2.642857142857143,0.0,2.1857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.4,0.5333333333333333,0.2,0.0
European Computer Driving License (ECDL),0.2,0.0,1.2,0.0,1.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.0,0.0,0.0,0.2,1.6,0.0,0.4,0.4,0.2,1.2,1.2,0.0
Advanced Security Practitioner (CASP),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666667,0.5,0.0,0.0,0.0,0.2,1.4,0.2,0.0,0.2,0.2,1.7333333333333334,0.4,0.0
ITIL Foundation,0.45,0.0,2.7,0.2,2.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,0.4,0.0,0.0,0.0,1.6,0.2,0.2,0.0
HP ATA - Cloud,0.2,0.0,2.2,0.2,2.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3666666666666667,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.6000000000000001,0.3333333333333333,0.0,0.0
Senior Level Linux Certification (LPIC-3: Mixed Environment),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.5,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,0.7333333333333334,0.4,0.0
Network+,0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.7777777777777777,0.0,0.8888888888888888,0.0,0.0,0.0,0.5,1.5,2.4444444444444446,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,2.311111111111111,0.4,0.0
Junior Level Linux Certification (LPIC-1),0.2,0.0,0.2,0.0,2.0,0.16666666666666666,0.2,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,2.4999999999999996,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,1.5333333333333332,0.4,0.0
Microsoft Certified Solution Expert  (MCSE `HW`),0.2,0.0,2.2,0.2,1.0,0.0,0.2,0.0,0.0,0.2,1.2,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,1.2,0.2,0.2,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
HP ATA – Servers and Storage,0.25,0.0,2.5,0.2,2.642857142857143,0.0,2.9857142857142858,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.4,0.3333333333333333,0.0,0.0
